datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
5/1/2016 4:00,5/1/2016 0:00,RFC,WEST,DUQ,DUQ,1138.573,TRUE
5/1/2016 5:00,5/1/2016 1:00,RFC,WEST,DUQ,DUQ,1089.713,TRUE
5/1/2016 6:00,5/1/2016 2:00,RFC,WEST,DUQ,DUQ,1075.268,TRUE
5/1/2016 7:00,5/1/2016 3:00,RFC,WEST,DUQ,DUQ,1068.282,TRUE
5/1/2016 8:00,5/1/2016 4:00,RFC,WEST,DUQ,DUQ,1062.133,TRUE
5/1/2016 9:00,5/1/2016 5:00,RFC,WEST,DUQ,DUQ,1082.21,TRUE
5/1/2016 10:00,5/1/2016 6:00,RFC,WEST,DUQ,DUQ,1112.312,TRUE
5/1/2016 11:00,5/1/2016 7:00,RFC,WEST,DUQ,DUQ,1139.435,TRUE
5/1/2016 12:00,5/1/2016 8:00,RFC,WEST,DUQ,DUQ,1192.965,TRUE
5/1/2016 13:00,5/1/2016 9:00,RFC,WEST,DUQ,DUQ,1256.152,TRUE
5/1/2016 14:00,5/1/2016 10:00,RFC,WEST,DUQ,DUQ,1295.271,TRUE
5/1/2016 15:00,5/1/2016 11:00,RFC,WEST,DUQ,DUQ,1330.668,TRUE
5/1/2016 16:00,5/1/2016 12:00,RFC,WEST,DUQ,DUQ,1353.508,TRUE
5/1/2016 17:00,5/1/2016 13:00,RFC,WEST,DUQ,DUQ,1360.767,TRUE
5/1/2016 18:00,5/1/2016 14:00,RFC,WEST,DUQ,DUQ,1353.947,TRUE
5/1/2016 19:00,5/1/2016 15:00,RFC,WEST,DUQ,DUQ,1355.433,TRUE
5/1/2016 20:00,5/1/2016 16:00,RFC,WEST,DUQ,DUQ,1390.107,TRUE
5/1/2016 21:00,5/1/2016 17:00,RFC,WEST,DUQ,DUQ,1418.096,TRUE
5/1/2016 22:00,5/1/2016 18:00,RFC,WEST,DUQ,DUQ,1403.27,TRUE
5/1/2016 23:00,5/1/2016 19:00,RFC,WEST,DUQ,DUQ,1367.284,TRUE
5/2/2016 0:00,5/1/2016 20:00,RFC,WEST,DUQ,DUQ,1386.125,TRUE
5/2/2016 1:00,5/1/2016 21:00,RFC,WEST,DUQ,DUQ,1382.134,TRUE
5/2/2016 2:00,5/1/2016 22:00,RFC,WEST,DUQ,DUQ,1311.703,TRUE
5/2/2016 3:00,5/1/2016 23:00,RFC,WEST,DUQ,DUQ,1218.077,TRUE
5/2/2016 4:00,5/2/2016 0:00,RFC,WEST,DUQ,DUQ,1143.69,TRUE
5/2/2016 5:00,5/2/2016 1:00,RFC,WEST,DUQ,DUQ,1102.715,TRUE
5/2/2016 6:00,5/2/2016 2:00,RFC,WEST,DUQ,DUQ,1093.388,TRUE
5/2/2016 7:00,5/2/2016 3:00,RFC,WEST,DUQ,DUQ,1104.511,TRUE
