datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
5/1/2017 4:00:00 AM,5/1/2017 12:00:00 AM,RFC,WEST,DUQ,DUQ,1377.472,True
5/1/2017 5:00:00 AM,5/1/2017 1:00:00 AM,RFC,WEST,DUQ,DUQ,1319.220,True
5/1/2017 6:00:00 AM,5/1/2017 2:00:00 AM,RFC,WEST,DUQ,DUQ,1290.749,True
5/1/2017 7:00:00 AM,5/1/2017 3:00:00 AM,RFC,WEST,DUQ,DUQ,1277.482,True
5/1/2017 8:00:00 AM,5/1/2017 4:00:00 AM,RFC,WEST,DUQ,DUQ,1278.791,True
5/1/2017 9:00:00 AM,5/1/2017 5:00:00 AM,RFC,WEST,DUQ,DUQ,1331.173,True
5/1/2017 10:00:00 AM,5/1/2017 6:00:00 AM,RFC,WEST,DUQ,DUQ,1464.203,True
5/1/2017 11:00:00 AM,5/1/2017 7:00:00 AM,RFC,WEST,DUQ,DUQ,1537.550,True
5/1/2017 12:00:00 PM,5/1/2017 8:00:00 AM,RFC,WEST,DUQ,DUQ,1611.426,True
5/1/2017 1:00:00 PM,5/1/2017 9:00:00 AM,RFC,WEST,DUQ,DUQ,1653.770,True
5/1/2017 2:00:00 PM,5/1/2017 10:00:00 AM,RFC,WEST,DUQ,DUQ,1678.820,True
5/1/2017 3:00:00 PM,5/1/2017 11:00:00 AM,RFC,WEST,DUQ,DUQ,1705.032,True
5/1/2017 4:00:00 PM,5/1/2017 12:00:00 PM,RFC,WEST,DUQ,DUQ,1718.285,True
5/1/2017 5:00:00 PM,5/1/2017 1:00:00 PM,RFC,WEST,DUQ,DUQ,1799.831,True
5/1/2017 6:00:00 PM,5/1/2017 2:00:00 PM,RFC,WEST,DUQ,DUQ,1771.082,True
5/1/2017 7:00:00 PM,5/1/2017 3:00:00 PM,RFC,WEST,DUQ,DUQ,1672.853,True
5/1/2017 8:00:00 PM,5/1/2017 4:00:00 PM,RFC,WEST,DUQ,DUQ,1631.731,True
5/1/2017 9:00:00 PM,5/1/2017 5:00:00 PM,RFC,WEST,DUQ,DUQ,1608.833,True
5/1/2017 10:00:00 PM,5/1/2017 6:00:00 PM,RFC,WEST,DUQ,DUQ,1594.858,True
5/1/2017 11:00:00 PM,5/1/2017 7:00:00 PM,RFC,WEST,DUQ,DUQ,1580.092,True
5/2/2017 12:00:00 AM,5/1/2017 8:00:00 PM,RFC,WEST,DUQ,DUQ,1567.276,True
5/2/2017 1:00:00 AM,5/1/2017 9:00:00 PM,RFC,WEST,DUQ,DUQ,1514.199,True
5/2/2017 2:00:00 AM,5/1/2017 10:00:00 PM,RFC,WEST,DUQ,DUQ,1385.471,True
5/2/2017 3:00:00 AM,5/1/2017 11:00:00 PM,RFC,WEST,DUQ,DUQ,1266.137,True
5/2/2017 4:00:00 AM,5/2/2017 12:00:00 AM,RFC,WEST,DUQ,DUQ,1179.125,True
5/2/2017 5:00:00 AM,5/2/2017 1:00:00 AM,RFC,WEST,DUQ,DUQ,1138.090,True
5/2/2017 6:00:00 AM,5/2/2017 2:00:00 AM,RFC,WEST,DUQ,DUQ,1105.800,True
5/2/2017 7:00:00 AM,5/2/2017 3:00:00 AM,RFC,WEST,DUQ,DUQ,1104.944,True
